sign;title;img
1.1.;"Знак 1.1: 
Железнодорожный переезд со шлагбаумом";https://media.am.ru/pdd/sign/m/1.1.png
1.2.;"Знак 1.2: 
Железнодорожный переезд без шлагбаума";https://media.am.ru/pdd/sign/m/1.2.png
1.3.1.;"Знак 1.3.1: 
Однопутная железная дорога";https://media.am.ru/pdd/sign/m/1.3.1.png
1.3.2.;"Знак 1.3.2: 
Многопутная железная дорога";https://media.am.ru/pdd/sign/m/1.3.2.png
1.4.1.;"Знак 1.4.1 - 1.4.6: 
Приближение к железнодорожному переезду";https://media.am.ru/pdd/sign/s/1.4.1.png
1.4.2.;"Знак 1.4.1 - 1.4.6: 
Приближение к железнодорожному переезду";https://media.am.ru/pdd/sign/s/1.4.2.png
1.4.3.;"Знак 1.4.1 - 1.4.6: 
Приближение к железнодорожному переезду";https://media.am.ru/pdd/sign/s/1.4.3.png
1.4.4.;"Знак 1.4.1 - 1.4.6: 
Приближение к железнодорожному переезду";https://media.am.ru/pdd/sign/s/1.4.4.png
1.4.5.;"Знак 1.4.1 - 1.4.6: 
Приближение к железнодорожному переезду";https://media.am.ru/pdd/sign/s/1.4.5.png
1.4.6.;"Знак 1.4.1 - 1.4.6: 
Приближение к железнодорожному переезду";https://media.am.ru/pdd/sign/s/1.4.6.png
1.5.;"Знак 1.5: 
Пересечение с трамвайной линией";https://media.am.ru/pdd/sign/m/1.5.png
1.6.;"Знак 1.6: 
Пересечение равнозначных дорог";https://media.am.ru/pdd/sign/m/1.6.png
1.7.;"Знак 1.7: 
Пересечение с круговым движением";https://media.am.ru/pdd/sign/m/1.7.png
1.8.;"Знак 1.8: 
Светофорное регулирование";https://media.am.ru/pdd/sign/m/1.8.png
1.9.;"Знак 1.9: 
Разводной мост";https://media.am.ru/pdd/sign/m/1.9.png
1.10.;"Знак 1.10: 
Выезд на набережную";https://media.am.ru/pdd/sign/m/1.10.png
1.11.1.;"Знак 1.11.1, 1.11.2: 
Опасный поворот";https://media.am.ru/pdd/sign/m/1.11.1.png
1.11.2.;"Знак 1.11.1, 1.11.2: 
Опасный поворот";https://media.am.ru/pdd/sign/m/1.11.2.png
1.12.1.;"Знак 1.12.1, 1.12.2: 
Опасные повороты";https://media.am.ru/pdd/sign/m/1.12.1.png
1.12.2.;"Знак 1.12.1, 1.12.2: 
Опасные повороты";https://media.am.ru/pdd/sign/m/1.12.2.png
1.13.;"Знак 1.13: 
Крутой спуск";https://media.am.ru/pdd/sign/m/1.13.png
1.14.;"Знак 1.14: 
Крутой подъем";https://media.am.ru/pdd/sign/m/1.14.png
1.15.;"Знак 1.15: 
Скользкая дорога";https://media.am.ru/pdd/sign/m/1.15.png
1.16.;"Знак 1.16: 
Неровная дорога";https://media.am.ru/pdd/sign/m/1.16.png
1.17.;"Знак 1.17: 
Искусственная неровность";https://media.am.ru/pdd/sign/m/1.17.png
1.18.;"Знак 1.18: 
Выброс гравия";https://media.am.ru/pdd/sign/m/1.18.png
1.19.;"Знак 1.19: 
Опасная обочина";https://media.am.ru/pdd/sign/m/1.19.png
1.20.1.;"Знак 1.20.1 - 1.20.3: 
Сужение дороги";https://media.am.ru/pdd/sign/m/1.20.1.png
1.20.2.;"Знак 1.20.1 - 1.20.3: 
Сужение дороги";https://media.am.ru/pdd/sign/m/1.20.2.png
1.20.3.;"Знак 1.20.1 - 1.20.3: 
Сужение дороги";https://media.am.ru/pdd/sign/m/1.20.3.png
1.21.;"Знак 1.21: 
Двустороннее движение";https://media.am.ru/pdd/sign/m/1.21.png
1.22.;"Знак 1.22: 
Пешеходный переход";https://media.am.ru/pdd/sign/m/1.22.png
1.23.;"Знак 1.23: 
Дети";https://media.am.ru/pdd/sign/m/1.23.png
1.24.;"Знак 1.24: 
Пересечение с велосипедной дорожкой или велопешеходной дорожкой";https://media.am.ru/pdd/sign/m/1.24.png
1.25.;"Знак 1.25: 
Дорожные работы";https://media.am.ru/pdd/sign/m/1.25.png
1.26.;"Знак 1.26: 
Перегон скота";https://media.am.ru/pdd/sign/m/1.26.png
1.27.;"Знак 1.27: 
Дикие животные";https://media.am.ru/pdd/sign/m/1.27.png
1.28.;"Знак 1.28: 
Падение камней";https://media.am.ru/pdd/sign/m/1.28.png
1.29.;"Знак 1.29: 
Боковой ветер";https://media.am.ru/pdd/sign/m/1.29.png
1.30.;"Знак 1.30: 
Низколетящие самолеты";https://media.am.ru/pdd/sign/m/1.30.png
1.31.;"Знак 1.31: 
Тоннель";https://media.am.ru/pdd/sign/m/1.31.png
1.32.;"Знак 1.32: 
Затор";https://media.am.ru/pdd/sign/m/1.32.png
1.33.;"Знак 1.33: 
Прочие опасности";https://media.am.ru/pdd/sign/m/1.33.png
1.34.1.;"Знак 1.34.1, 1.34.2: 
Направление поворота";https://media.am.ru/pdd/sign/m/1.34.2_B.png
1.34.2.;"Знак 1.34.1, 1.34.2: 
Направление поворота";https://media.am.ru/pdd/sign/m/1.34.1_B.png
1.34.3.;"Знак 1.34.3: 
Направление поворота";https://media.am.ru/pdd/sign/m/1.34.3_B.png
1.35.;"Знак 1.35: 
Участок перекрестка";http://media.am.ru/automobile/files/6/6b/6b2701b8fe6d17ff087a0023d9031d0c.jpeg
2.1.;"Знак 2.1: 
Главная дорога";https://media.am.ru/pdd/sign/m/2.1.png
2.2.;"Знак 2.2: 
Конец главной дороги";https://media.am.ru/pdd/sign/m/2.2.png
2.3.1.;"Знак 2.3.1: 
Пересечение со второстепенной дорогой";https://media.am.ru/pdd/sign/m/2.3.1.png
2.3.2.;"Знак 2.3.2 - 2.3.7: 
Примыкание второстепенной дороги";https://media.am.ru/pdd/sign/m/2.3.2.png
2.3.3.;"Знак 2.3.2 - 2.3.7: 
Примыкание второстепенной дороги";https://media.am.ru/pdd/sign/m/2.3.3.png
2.3.4.;"Знак 2.3.2 - 2.3.7: 
Примыкание второстепенной дороги";https://media.am.ru/pdd/sign/m/2.3.4.png
2.3.5.;"Знак 2.3.2 - 2.3.7: 
Примыкание второстепенной дороги";https://media.am.ru/pdd/sign/m/2.3.5.png
2.3.6.;"Знак 2.3.2 - 2.3.7: 
Примыкание второстепенной дороги";https://media.am.ru/pdd/sign/m/2.3.6.png
2.3.7.;"Знак 2.3.2 - 2.3.7: 
Примыкание второстепенной дороги";https://media.am.ru/pdd/sign/m/2.3.7.png
2.4.;"Знак 2.4: 
Уступите дорогу";https://media.am.ru/pdd/sign/m/2.4.png
2.5.;"Знак 2.5: 
Движение без остановки запрещено";https://media.am.ru/pdd/sign/m/2.5.png
2.6.;"Знак 2.6: 
Преимущество встречного движения";https://media.am.ru/pdd/sign/m/2.6.png
2.7.;"Знак 2.7: 
Преимущество перед встречным движением";https://media.am.ru/pdd/sign/m/2.7.png
3.1.;"Знак 3.1: 
Въезд запрещен";https://media.am.ru/pdd/sign/m/3.1.png
3.2.;"Знак 3.2: 
Движение запрещено";https://media.am.ru/pdd/sign/m/3.2.png
3.3.;"Знак 3.3: 
Движение механических транспортных средств запрещено";https://media.am.ru/pdd/sign/m/3.3.png
3.4.;"Знак 3.4: 
Движение грузовых автомобилей запрещено";https://media.am.ru/pdd/sign/m/3.4.png
3.5.;"Знак 3.5: 
Движение мотоциклов запрещено";https://media.am.ru/pdd/sign/m/3.5.png
3.6.;"Знак 3.6: 
Движение тракторов запрещено";https://media.am.ru/pdd/sign/m/3.6.png
3.7.;"Знак 3.7: 
Движение с прицепом запрещено";https://media.am.ru/pdd/sign/m/3.7.png
3.8.;"Знак 3.8: 
Движение гужевых повозок запрещено";https://media.am.ru/pdd/sign/m/3.8.png
3.9.;"Знак 3.9: 
Движение на велосипедах запрещено";https://media.am.ru/pdd/sign/m/3.9.png
3.10.;"Знак 3.10: 
Движение пешеходов запрещено";https://media.am.ru/pdd/sign/m/3.10.png
3.11.;"Знак 3.11: 
Ограничение массы";https://media.am.ru/pdd/sign/m/3.11.png
3.12.;"Знак 3.12: 
Ограничение массы, приходящейся на ось транспортного средства";https://media.am.ru/pdd/sign/m/3.12.png
3.13.;"Знак 3.13: 
Ограничение высоты";https://media.am.ru/pdd/sign/m/3.13.png
3.14.;"Знак 3.14: 
Ограничение ширины";https://media.am.ru/pdd/sign/m/3.14.png
3.15.;"Знак 3.15: 
Ограничение длины";https://media.am.ru/pdd/sign/m/3.15.png
3.16.;"Знак 3.16: 
Ограничение минимальной дистанции";https://media.am.ru/pdd/sign/m/3.16.png
3.17.1.;"Знак 3.17.1: 
Таможня";https://media.am.ru/pdd/sign/m/3.17.1.png
